,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,TCS,4.0,(35k Reviews),Public,"Mumbai,Maharashtra + 227 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(23.8k Reviews),Public,"Dublin,Dublin + 125 more",33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(21.9k Reviews),Private,"Teaneck,New Jersey + 84 more",28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(28.8k Reviews),Public,"Mumbai,Maharashtra + 945 more",28 years old,50k-1 Lakh Employees (India)
4,HDFC Bank,4.0,(29.7k Reviews),Public,"Mumbai,Maharashtra + 1032 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(20.4k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 241 more",77 years old,1 Lakh+ Employees (India)
6,Capgemini,3.8,(17.5k Reviews),Public,Paris + 66 more,55 years old,1 Lakh+ Employees (India)
7,HCL Technologies,3.8,(17.2k Reviews),Public,"Noida,Uttar Pradesh + 150 more",46 years old,1 Lakh+ Employees (India)
8,Infosys,3.9,(21k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 113 more",41 years old,1 Lakh+ Employees (India)
9,Tech Mahindra,3.7,(16.6k Reviews),Public,"Pune,Maharashtra + 171 more",36 years old,50k-1 Lakh Employees (India)
10,Genpact,4.0,(16.1k Reviews),Private,"New York,New York + 51 more",25 years old,50k-1 Lakh Employees (India)
11,Axis Bank,3.9,(15.2k Reviews),Public,"Mumbai,Maharashtra + 930 more",29 years old,50k-1 Lakh Employees (India)
12,Reliance jio,4.0,(12.2k Reviews),Public,"Navi Mumbai,Maharashtra + 851 more",15 years old,10k-50k Employees (India)
13,Larsen & Toubro ...,4.0,(15.5k Reviews),Public,"Mumbai,Maharashtra + 454 more",84 years old,10k-50k Employees (India)
14,Vodafone Idea,4.2,(12k Reviews),Public,"Gandhinagar,Gujrat + 524 more",4 years old,10k-50k Employees (India)
15,IBM,4.1,(12.2k Reviews),Public,"Armonk,New York + 105 more",111 years old,1 Lakh+ Employees (India)
16,Concentrix Corpo...,4.1,(11.6k Reviews),Public,"Fremont,California + 56 more",39 years old,10k-50k Employees (India)
17,Amazon,4.2,(11.4k Reviews),Private,"Seattle,Washington + 307 more",28 years old,1 Lakh+ Employees (India)
18,HDB Financial Se...,4.0,(10.5k Reviews),Private,"Ahmedabad,Gujrat + 658 more",15 years old,1 Lakh+ Employees (India)
19,Kotak Mahindra B...,3.9,(11k Reviews),Public,"Mumbai,Maharashtra + 433 more",19 years old,10k-50k Employees (India)
20,Teleperformance,3.6,(8.1k Reviews),Private,Paris + 105 more,44 years old,50k-1 Lakh Employees (India)
21,Bharti Airtel,4.1,(10.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 438 more",27 years old,5k-10k Employees (India)
22,Tata Motors,4.1,(7.7k Reviews),Public,"Pune,Maharashtra + 359 more",77 years old,50k-1 Lakh Employees (India)
